n,5cm_raw,5cm_sqr,5cm_lin,10cm_raw,10cm_sqr,10cm_lin,30cm_raw,30cm_sqr,30cm_lin,20cm_raw,20cm_sqr,20cm_lin,40cm_raw,40cm_sqr,40cm_lin,50cm_raw,50cm_sqr,50cm_lin,60cm_raw,60cm_sqr,60cm_lin,70cm_raw,70cm_sqr,70cm_lin,80cm_raw,80cm_sqr,80cm_lin
73,5.304,5.383088,4.644007,10.557,10.168739,10.157488,28.9,30.539338,30.027502,20.094,19.733043,19.573369,40.443,43.432399,39.174869,46.852,48.891404,48.912966,57.579,58.917774,57.183187,63.733,69.158942,67.494114,75.31,78.96768,78.449473
74,4.437,4.477257,5.270539,11.118,9.556252,9.871073,29.92,28.917945,30.815142,19.771,19.733043,19.913486,38.165,41.072434,38.942157,48.127,49.253837,47.659902,57.154,59.813564,56.896773,65.824,69.767358,67.046591,77.69,80.808676,79.272915
75,4.437,4.77331,4.339691,10.557,10.168739,10.175389,29.92,30.521507,31.602782,20.4,19.733043,19.895585,39.066,39.867303,40.606942,48.297,47.859089,50.864165,55.216,56.818072,57.326395,64.43,69.011494,69.409511,73.253,78.020369,79.756239
76,5.304,4.477257,4.339691,11.135,9.556252,11.392651,30.43,30.539338,29.9917,20.723,19.715385,19.573369,38.607,39.615644,42.647646,47.243,48.710229,48.483344,55.216,56.36211,56.896773,66.249,66.139865,69.839133,73.984,81.311246,77.142706
77,5.304,4.477257,3.408844,10.557,9.871202,9.853173,33.269,28.90014,35.111361,19.771,19.397586,19.913486,40.443,39.382011,40.857554,47.634,48.891404,50.864165,55.216,57.128227,57.326395,64.702,66.305349,69.96444,75.684,78.50322,75.424218
78,5.593,4.77331,5.252638,11.713,9.556252,10.175389,30.43,28.90014,31.620683,19.448,19.397586,19.913486,41.684,41.540438,40.857554,46.852,49.054485,47.248181,55.216,57.255962,59.241793,67.218,69.748917,69.39161,78.931,78.50322,79.756239
79,6.188,4.477257,4.339691,12.002,9.853703,10.157488,30.43,30.521507,30.815142,20.094,19.733043,19.573369,42.279,43.017703,38.942157,47.243,49.253837,49.432092,58.004,58.150493,56.735665,65.416,68.421881,66.885483,78.132,80.808676,77.518625
80,5.304,5.383088,4.339691,12.002,10.764059,11.392651,31.467,30.539338,30.260214,20.094,19.733043,19.913486,39.287,39.615644,40.857554,48.127,49.054485,49.091975,56.882,56.964017,56.896773,65.399,67.05951,70.250854,78.659,79.841343,75.889642
81,5.304,4.77331,4.339691,12.002,10.168739,9.871073,30.447,31.877409,29.186159,19.771,19.733043,19.895585,38.845,39.382011,40.141518,47.787,49.253837,50.327138,55.199,58.753314,56.44925,64.991,66.746751,69.087295,74.715,81.292628,80.687087
82,5.304,4.477257,5.252638,10.846,9.871202,9.853173,31.722,30.521507,31.620683,20.077,19.733043,19.573369,43.469,40.586631,41.340879,48.144,47.859089,48.071623,58.412,56.818072,57.326395,64.141,67.206719,66.008338,73.525,75.961116,80.973501
83,5.593,3.589588,4.339691,11.424,9.871202,9.871073,30.447,28.917945,30.797241,20.094,19.733043,19.913486,38.607,43.450433,41.340879,47.243,48.293636,48.089523,56.61,57.255962,56.44925,65.127,67.943034,66.008338,75.667,77.611952,77.0353
84,5.015,4.477257,4.339691,12.002,10.764059,10.78402,29.937,30.004554,29.436772,19.771,19.062232,19.913486,40.443,39.867303,39.658193,46.444,50.686553,49.432092,55.216,56.070387,58.346747,65.11,69.767358,65.883031,79.05,80.827286,80.132158
85,5.304,4.477257,5.270539,10.846,10.168739,10.157488,28.9,29.986732,29.9917,20.723,19.733043,19.573369,38.845,39.382011,40.606942,47.804,48.891404,49.091975,56.049,60.106214,56.306043,63.886,69.011494,70.805783,78.234,76.0538,79.935248
86,5.304,4.77331,5.270539,10.846,9.853703,11.392651,28.9,30.521507,30.260214,20.094,19.733043,19.913486,40.902,41.558442,38.458832,47.957,49.253837,49.091975,54.808,60.252566,59.098585,67.201,68.716651,68.353357,74.341,80.808676,78.342067
87,6.188,3.589588,4.339691,10.557,10.466358,9.548857,28.883,28.917945,30.009601,20.094,19.397586,19.913486,39.763,41.558442,40.141518,47.974,48.891404,49.074074,55.624,57.255962,57.326395,64.838,65.992787,67.762627,77.809,78.020369,80.203762
88,5.304,4.477257,4.339691,11.118,9.871202,9.244542,29.155,29.185046,30.797241,19.771,19.397586,19.573369,40.443,41.072434,40.857554,47.617,47.859089,48.483344,54.808,56.380345,57.326395,68.782,69.619835,65.86513,75.208,77.630514,77.0353
89,5.304,5.383088,4.339691,10.829,10.448849,9.871073,30.43,28.917945,30.797241,19.771,19.715385,19.573369,37.247,39.382011,43.274178,47.804,49.616383,49.432092,55.913,57.712271,59.832523,64.158,69.306409,67.476213,75.021,80.436534,80.096357
90,5.304,5.383088,4.339691,10.251,11.359705,10.766119,28.883,30.521507,29.973799,20.094,19.733043,19.573369,39.304,40.119016,40.141518,46.835,48.293636,48.912966,54.655,56.818072,59.241793,66.368,68.864064,70.716278,75.225,78.001802,81.027204
91,5.593,4.477257,4.339691,10.846,10.151235,10.175389,30.43,30.521507,30.815142,20.094,19.397586,19.573369,38.845,38.17866,39.425481,48.127,49.235713,48.071623,57.154,58.479266,56.896773,66.657,66.434074,69.534818,74.698,81.292628,80.56178
92,5.304,4.477257,4.339691,12.002,9.871202,9.853173,28.9,30.521507,29.454673,19.771,19.733043,19.233251,39.525,40.101035,41.573591,47.804,49.253837,48.501244,55.624,58.460999,57.63071,65.263,65.698686,66.599068,74.256,76.331895,77.518625
93,5.304,4.477257,4.339691,11.424,10.764059,11.392651,30.43,28.917945,30.797241,19.771,19.397586,19.573369,39.984,40.3528,40.624843,47.634,48.293636,49.091975,55.488,58.607148,56.896773,66.385,67.353946,69.105196,74.885,75.849904,79.272915
94,4.42,4.477257,4.339691,10.54,10.168739,9.871073,30.447,30.539338,29.186159,19.771,19.733043,19.233251,39.525,38.66344,41.806303,48.484,49.054485,49.074074,54.655,59.356443,58.078233,63.869,66.158251,66.455861,73.899,77.036688,77.966148
95,5.304,4.477257,5.270539,10.557,9.871202,9.871073,29.665,28.90014,29.186159,20.094,19.397586,19.233251,39.525,40.3528,38.458832,47.634,48.891404,50.864165,55.216,56.216239,58.22144,66.521,67.501191,67.637321,78.234,78.466071,76.569877
96,5.304,4.477257,4.644007,12.002,10.746545,9.871073,30.43,31.609668,29.973799,19.771,19.397586,19.573369,39.083,39.849325,42.235925,47.804,47.877192,48.912966,55.199,56.818072,56.753566,64.294,68.40346,70.071845,73.44,79.841343,75.728534
97,5.304,3.572191,4.644007,10.846,9.556252,8.940226,33.269,30.539338,30.797241,20.094,19.397586,19.895585,39.066,38.17866,40.392131,47.787,47.877192,49.091975,54.655,56.653905,57.183187,63.325,66.139865,66.599068,74.8,76.943929,80.669186
98,5.304,5.365661,5.270539,10.54,9.556252,9.871073,29.665,31.877409,30.797241,19.448,19.733043,19.913486,39.984,39.382011,43.685899,48.127,50.686553,49.091975,55.216,58.168756,58.79427,64.43,67.943034,69.534818,76.568,78.020369,77.053201
99,5.304,4.477257,4.339691,10.557,8.961595,10.175389,29.138,29.71944,30.797241,20.094,19.397586,19.913486,39.984,38.66344,40.37423,49.487,50.686553,50.506147,55.624,56.818072,56.896773,64.158,67.353946,67.333005,74.681,78.020369,81.13461
100,5.304,4.477257,4.339691,10.54,9.556252,9.548857,30.43,28.917945,29.9917,19.771,20.386593,19.913486,39.066,41.072434,39.658193,47.634,48.076342,48.912966,55.624,57.566233,58.22144,66.81,68.864064,69.087295,75.667,82.074802,77.984049
101,5.304,4.477257,4.339691,10.557,10.168739,10.175389,30.43,30.521507,29.9917,20.094,19.397586,19.573369,38.624,39.867303,42.432835,47.243,48.710229,48.912966,54.791,57.274211,58.651062,65.535,67.482784,65.86513,75.208,75.590449,77.393319
102,5.304,4.477257,5.270539,10.251,10.168739,9.871073,30.43,28.90014,31.620683,20.094,19.733043,19.573369,40.902,39.867303,42.647646,48.484,48.891404,49.432092,58.004,58.150493,56.896773,66.793,67.943034,68.639772,74.341,80.808676,78.431572
103,5.304,4.477257,4.339691,10.251,11.359705,10.175389,30.447,31.324147,29.186159,20.4,19.733043,19.573369,40.443,38.896926,40.37423,48.654,49.054485,49.091975,56.474,56.79983,56.44925,64.141,69.601396,70.143449,72.811,78.001802,76.659381
